name,rating,reviews,price_range,category,address,phone,website,hours,plus_code,description,google_maps_url,instagram,tiktok,photos,videos,reviews_data
"Societe Cafe Kediri","4.7","594","Rp 25–50 rb","Societe Cafe Kediri  4,7(594)","","","","","","","https://www.google.com/maps/place/Societe+Cafe+Kediri/data=!4m7!3m6!1s0x2e7857146e986485:0xac922071a2c930f3!8m2!3d-7.8169584!4d112.0197906!16s%2Fg%2F11c6qb2cwc!19sChIJhWSYbhRXeC4R8zDJonEgkqw","","","","",""
"Tropis Coffee","3.9","186","Rp 25–50 rb","","","","","","","","https://www.google.com/maps/place/Tropis+Coffee/data=!4m7!3m6!1s0x2e78570010520e29:0x1bfa000587c5948a!8m2!3d-7.8190061!4d112.0106658!16s%2Fg%2F11mcb9d7mh!19sChIJKQ5SEABXeC4RipTFhwUA-hs","","","","",""
"Parkir Depan Coffee & Eatery","4.6","531","Rp 25–50 rb","","","","","","","","https://www.google.com/maps/place/Parkir+Depan+Coffee+%26+Eatery/data=!4m7!3m6!1s0x2e78576e6d970409:0x56ff0cf2e8c6f0b8!8m2!3d-7.820209!4d112.0231246!16s%2Fg%2F11r972k939!19sChIJCQSXbW5XeC4RuPDG6PIM_1Y","","","","",""
"TEBU - Cafe Temu Budaya Kediri","4.0","490","Rp 25–50 rb","TEBU - Cafe Temu Budaya Kediri  4,0(490)","","","","","","","https://www.google.com/maps/place/TEBU+-+Cafe+Temu+Budaya+Kediri/data=!4m7!3m6!1s0x2e7857004d0ac6ff:0x5ea064ab6da8e5f0!8m2!3d-7.8170805!4d112.0138707!16s%2Fg%2F11vlz030gs!19sChIJ_8YKTQBXeC4R8OWobatkoF4","","","","",""
"TELL KOPI","4.4","1286","Rp 25–50 rb","","","","","","","","https://www.google.com/maps/place/TELL+KOPI/data=!4m7!3m6!1s0x2e7857e25c0919ff:0x3a98c7a3eaa95881!8m2!3d-7.8298448!4d112.0382753!16s%2Fg%2F11fksyf8t5!19sChIJ_xkJXOJXeC4RgVip6qPHmDo","","","","",""
"Kopi Calf To Go Kediri","4.8","941","Rp 25–50 rb","","","","","","","","https://www.google.com/maps/place/Kopi+Calf+To+Go+Kediri/data=!4m7!3m6!1s0x2e7857005600f767:0x15d8358415ea3899!8m2!3d-7.8150358!4d112.0178122!16s%2Fg%2F11xrc70p9h!19sChIJZ_cAVgBXeC4RmTjqFYQ12BU","","","","",""
"Okui Es Kopi dan Temannya","4.5","1263","Rp 25–50 rb","","","","","","","","https://www.google.com/maps/place/Okui+Es+Kopi+dan+Temannya/data=!4m7!3m6!1s0x2e78576b59e95a4d:0xc5fca40527937d9!8m2!3d-7.8170254!4d112.0248372!16s%2Fg%2F11gg9f4bhh!19sChIJTVrpWWtXeC4R2Td5UkDKXww","","","","",""
"Laoban kediri","4.7","514","Rp 25–50 rb","Buka Kam pukul 07.00  ""pas bgt lagi ada menu terbaru collab sm chef, and here we go.""  Pesan online","","","","","","","https://www.google.com/maps/place/Laoban+kediri/data=!4m7!3m6!1s0x2e785700564efc11:0x61d576780053702a!8m2!3d-7.8214169!4d112.0273827!16s%2Fg%2F11v_5h83wm!19sChIJEfxOVgBXeC4RKnBTAHh21WE","","","","",""
"91 traditional coffee","4.8","51","","","","","","","","","https://www.google.com/maps/place/91+traditional+coffee/data=!4m7!3m6!1s0x2e785704764af16b:0x21ba48b13ac8d337!8m2!3d-7.8240422!4d111.9844724!16s%2Fg%2F11jmzcwt00!19sChIJa_FKdgRXeC4RN9PIOrFIuiE","","","","",""
"Epilogi Coffee","4.6","164","Rp 25–50 rb","","","","","","","","https://www.google.com/maps/place/Epilogi+Coffee/data=!4m7!3m6!1s0x2e785738a1498d63:0x3382597396606819!8m2!3d-7.8144168!4d112.020778!16s%2Fg%2F11xvclyk9c!19sChIJY41JoThXeC4RGWhglnNZgjM","","","","",""
"Cafe Republic","4.3","226","Rp 1–25.000","Cafe Republic  4,3(226)","","","","","","","https://www.google.com/maps/place/Cafe+Republic/data=!4m7!3m6!1s0x2e7856ec8bc6f76b:0x2bac971d54f2c77b!8m2!3d-7.8205604!4d111.9788179!16s%2Fg%2F11c5hz8wfk!19sChIJa_fGi-xWeC4Re8fyVB2XrCs","","","","",""
"AMA cafe and resto","4.3","382","Rp 25–50 rb","AMA cafe and resto  4,3(382)","","","","","","","https://www.google.com/maps/place/AMA+cafe+and+resto/data=!4m7!3m6!1s0x2e785737f38bb00f:0x4464013f9187c216!8m2!3d-7.8129359!4d112.0247936!16s%2Fg%2F11rfc5nsw1!19sChIJD7CL8zdXeC4RFsKHkT8BZEQ","","","","",""
